dataset,mae_threshold,horizon,recovery_level,trades,reached_trades,reached_pct,reached_win_rate,not_reached_win_rate,win_rate_difference,reached_mean_final_R,not_reached_mean_final_R
DEVELOPMENT,0.75,1,-0.2,95,9,0.09473684210526316,0.3333333333333333,,,-0.4422222222222222,
DEVELOPMENT,0.75,1,-0.1,95,3,0.031578947368421054,0.6666666666666666,,,0.5,
DEVELOPMENT,0.75,1,0.0,95,3,0.031578947368421054,0.6666666666666666,,,0.5,
DEVELOPMENT,0.75,1,0.1,95,2,0.021052631578947368,0.5,,,-0.30000000000000004,
DEVELOPMENT,0.75,1,0.2,95,2,0.021052631578947368,0.5,,,-0.30000000000000004,
DEVELOPMENT,0.75,2,-0.5,95,43,0.45263157894736844,0.32558139534883723,,,-0.3409302325581396,
DEVELOPMENT,0.75,2,-0.4,95,35,0.3684210526315789,0.34285714285714286,,,-0.3094285714285715,
DEVELOPMENT,0.75,2,-0.3,95,23,0.24210526315789474,0.391304347826087,,,-0.2839130434782609,
DEVELOPMENT,0.75,2,-0.2,95,17,0.17894736842105263,0.4117647058823529,,,-0.18235294117647055,
DEVELOPMENT,0.75,2,-0.1,95,11,0.11578947368421053,0.6363636363636364,,,0.34454545454545465,
DEVELOPMENT,0.75,2,0.0,95,7,0.07368421052631578,0.7142857142857143,,,0.6128571428571429,
DEVELOPMENT,0.75,2,0.1,95,4,0.042105263157894736,0.5,,,0.355,
DEVELOPMENT,0.75,2,0.2,95,4,0.042105263157894736,0.5,,,0.355,
DEVELOPMENT,0.75,2,0.3,95,1,0.010526315789473684,0.0,,,-2.71,
DEVELOPMENT,0.75,2,0.4,95,1,0.010526315789473684,0.0,,,-2.71,
DEVELOPMENT,0.75,3,-0.5,95,51,0.5368421052631579,0.3333333333333333,,,-0.3045098039215686,
DEVELOPMENT,0.75,3,-0.4,95,42,0.4421052631578947,0.35714285714285715,,,-0.27285714285714285,
DEVELOPMENT,0.75,3,-0.3,95,34,0.35789473684210527,0.4117647058823529,,,-0.2558823529411765,
DEVELOPMENT,0.75,3,-0.2,95,26,0.2736842105263158,0.46153846153846156,,,-0.145,
DEVELOPMENT,0.75,3,-0.1,95,20,0.21052631578947367,0.5,,,-0.07099999999999998,
DEVELOPMENT,0.75,3,0.0,95,17,0.17894736842105263,0.5882352941176471,,,0.035294117647058795,
DEVELOPMENT,0.75,3,0.1,95,12,0.12631578947368421,0.5833333333333334,,,0.3374999999999999,
DEVELOPMENT,0.75,3,0.2,95,8,0.08421052631578947,0.625,,,0.41875,
DEVELOPMENT,0.75,3,0.3,95,6,0.06315789473684211,0.5,,,-0.14333333333333334,
DEVELOPMENT,0.75,3,0.4,95,4,0.042105263157894736,0.25,,,-0.7450000000000001,
DEVELOPMENT,0.75,4,-0.5,95,55,0.5789473684210527,0.32727272727272727,,,-0.31636363636363635,
DEVELOPMENT,0.75,4,-0.4,95,45,0.47368421052631576,0.35555555555555557,,,-0.264,
DEVELOPMENT,0.75,4,-0.3,95,36,0.37894736842105264,0.3888888888888889,,,-0.2583333333333334,
DEVELOPMENT,0.75,4,-0.2,95,31,0.3263157894736842,0.45161290322580644,,,-0.1367741935483871,
DEVELOPMENT,0.75,4,-0.1,95,26,0.2736842105263158,0.5,,,-0.06346153846153849,
DEVELOPMENT,0.75,4,0.0,95,22,0.23157894736842105,0.5454545454545454,,,0.0013636363636363496,
DEVELOPMENT,0.75,4,0.1,95,16,0.16842105263157894,0.625,,,0.18374999999999997,
DEVELOPMENT,0.75,4,0.2,95,14,0.14736842105263157,0.6428571428571429,,,0.17357142857142852,
DEVELOPMENT,0.75,4,0.3,95,11,0.11578947368421053,0.6363636363636364,,,0.17181818181818176,
DEVELOPMENT,0.75,4,0.4,95,8,0.08421052631578947,0.5,,,-0.43750000000000006,
DEVELOPMENT,0.75,5,-0.5,95,56,0.5894736842105263,0.32142857142857145,,,-0.3221428571428571,
DEVELOPMENT,0.75,5,-0.4,95,48,0.5052631578947369,0.3541666666666667,,,-0.25333333333333335,
DEVELOPMENT,0.75,5,-0.3,95,41,0.43157894736842106,0.4146341463414634,,,-0.19780487804878055,
DEVELOPMENT,0.75,5,-0.2,95,36,0.37894736842105264,0.4722222222222222,,,-0.08472222222222221,
DEVELOPMENT,0.75,5,-0.1,95,31,0.3263157894736842,0.5161290322580645,,,-0.03548387096774195,
DEVELOPMENT,0.75,5,0.0,95,26,0.2736842105263158,0.5384615384615384,,,0.013076923076923068,
DEVELOPMENT,0.75,5,0.1,95,20,0.21052631578947367,0.55,,,0.08799999999999994,
