sample,mae_threshold,decision_bar,window,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR
HOLDOUT,0.75,5,15,3,2,-3.53,-3.16,0.36999999999999966,0.0,0.0
HOLDOUT,0.75,5,16,2,1,1.15,1.22,0.07000000000000006,0.5,0.5
HOLDOUT,0.75,5,18,9,5,-6.6899999999999995,-8.549999999999999,-1.8599999999999994,0.2222222222222222,0.0
HOLDOUT,0.75,5,19,2,2,-0.41999999999999993,-1.31,-0.8900000000000001,0.5,0.0
HOLDOUT,0.75,5,20,33,27,-26.269999999999996,-24.939999999999998,1.3299999999999983,0.2727272727272727,0.06060606060606061
HOLDOUT,0.75,5,21,1,1,3.94,-0.21,-4.15,1.0,0.0
HOLDOUT,0.75,5,22,10,8,-11.400000000000002,-7.859999999999999,3.5400000000000027,0.1,0.1
DEVELOPMENT,0.75,6,1,8,5,-0.3800000000000001,-4.56,-4.18,0.5,0.125
DEVELOPMENT,0.75,6,2,1,1,-1.7,-0.29,1.41,0.0,0.0
DEVELOPMENT,0.75,6,3,14,9,-6.59,-9.35,-2.76,0.21428571428571427,0.07142857142857142
DEVELOPMENT,0.75,6,4,1,1,0.09,-0.32,-0.41000000000000003,1.0,0.0
DEVELOPMENT,0.75,6,5,7,6,-14.000000000000002,-4.69,9.310000000000002,0.0,0.0
DEVELOPMENT,0.75,6,6,17,11,-11.78,-10.3,1.4799999999999986,0.23529411764705882,0.058823529411764705
DEVELOPMENT,0.75,6,8,1,0,-0.75,-0.75,0.0,0.0,0.0
DEVELOPMENT,0.75,6,9,19,13,-11.989999999999998,-10.59,1.3999999999999986,0.10526315789473684,0.05263157894736842
DEVELOPMENT,0.75,6,10,12,11,-7.510000000000001,-8.15,-0.6399999999999997,0.3333333333333333,0.0
DEVELOPMENT,0.75,6,11,15,12,-12.880000000000003,-10.790000000000001,2.0900000000000016,0.13333333333333333,0.06666666666666667
HOLDOUT,0.75,6,12,19,18,-17.270000000000003,-14.18,3.0900000000000034,0.2631578947368421,0.0
HOLDOUT,0.75,6,13,1,1,1.46,-0.94,-2.4,1.0,0.0
HOLDOUT,0.75,6,14,20,18,-6.62,-11.27,-4.6499999999999995,0.3,0.1
HOLDOUT,0.75,6,15,3,2,-3.53,-3.16,0.36999999999999966,0.0,0.0
HOLDOUT,0.75,6,16,2,1,1.15,1.22,0.07000000000000006,0.5,0.5
HOLDOUT,0.75,6,18,9,7,-6.6899999999999995,-6.19,0.4999999999999991,0.2222222222222222,0.0
HOLDOUT,0.75,6,19,2,2,-0.41999999999999993,-1.31,-0.8900000000000001,0.5,0.0
HOLDOUT,0.75,6,20,33,32,-26.269999999999996,-23.69,2.5799999999999947,0.2727272727272727,0.0
HOLDOUT,0.75,6,21,1,1,3.94,-0.21,-4.15,1.0,0.0
HOLDOUT,0.75,6,22,10,9,-11.400000000000002,-9.62,1.780000000000003,0.1,0.0
DEVELOPMENT,0.75,8,1,8,8,-0.3800000000000001,-5.57,-5.19,0.5,0.0
DEVELOPMENT,0.75,8,2,1,1,-1.7,-0.29,1.41,0.0,0.0
DEVELOPMENT,0.75,8,3,14,14,-6.59,-9.92,-3.33,0.21428571428571427,0.0
DEVELOPMENT,0.75,8,4,1,1,0.09,-0.32,-0.41000000000000003,1.0,0.0
DEVELOPMENT,0.75,8,5,7,7,-14.000000000000002,-5.13,8.870000000000001,0.0,0.0
DEVELOPMENT,0.75,8,6,17,17,-11.78,-12.370000000000001,-0.5900000000000016,0.23529411764705882,0.0
DEVELOPMENT,0.75,8,8,1,1,-0.75,-0.38,0.37,0.0,0.0
DEVELOPMENT,0.75,8,9,19,19,-11.989999999999998,-12.979999999999999,-0.9900000000000002,0.10526315789473684,0.0
DEVELOPMENT,0.75,8,10,12,12,-7.510000000000001,-8.35,-0.839999999999999,0.3333333333333333,0.0
DEVELOPMENT,0.75,8,11,15,15,-12.880000000000003,-10.9,1.9800000000000022,0.13333333333333333,0.0
HOLDOUT,0.75,8,12,19,19,-17.270000000000003,-13.94,3.3300000000000036,0.2631578947368421,0.0
HOLDOUT,0.75,8,13,1,1,1.46,-0.94,-2.4,1.0,0.0
HOLDOUT,0.75,8,14,20,20,-6.62,-13.809999999999999,-7.189999999999999,0.3,0.0
HOLDOUT,0.75,8,15,3,3,-3.53,-2.62,0.9099999999999997,0.0,0.0
HOLDOUT,0.75,8,16,2,2,1.15,-1.39,-2.54,0.5,0.0
HOLDOUT,0.75,8,18,9,9,-6.6899999999999995,-5.94,0.7499999999999991,0.2222222222222222,0.0
HOLDOUT,0.75,8,19,2,2,-0.41999999999999993,-1.31,-0.8900000000000001,0.5,0.0
HOLDOUT,0.75,8,20,33,33,-26.269999999999996,-22.580000000000002,3.689999999999994,0.2727272727272727,0.0
HOLDOUT,0.75,8,21,1,1,3.94,-0.21,-4.15,1.0,0.0
HOLDOUT,0.75,8,22,10,10,-11.400000000000002,-7.91,3.490000000000002,0.1,0.0
DEVELOPMENT,0.8,2,1,8,1,-0.3800000000000001,-0.10000000000000009,0.28,0.5,0.5
DEVELOPMENT,0.8,2,2,1,1,-1.7,-0.29,1.41,0.0,0.0
DEVELOPMENT,0.8,2,3,14,3,-6.59,-9.629999999999999,-3.039999999999999,0.21428571428571427,0.14285714285714285
DEVELOPMENT,0.8,2,4,1,0,0.09,0.09,0.0,1.0,1.0
DEVELOPMENT,0.8,2,5,7,4,-14.000000000000002,-4.61,9.39,0.0,0.0
DEVELOPMENT,0.8,2,6,17,0,-11.78,-11.78,0.0,0.23529411764705882,0.23529411764705882
DEVELOPMENT,0.8,2,8,1,0,-0.75,-0.75,0.0,0.0,0.0
DEVELOPMENT,0.8,2,9,19,0,-11.989999999999998,-11.989999999999998,0.0,0.10526315789473684,0.10526315789473684
DEVELOPMENT,0.8,2,10,12,3,-7.510000000000001,-8.84,-1.3299999999999992,0.3333333333333333,0.25
DEVELOPMENT,0.8,2,11,15,3,-12.880000000000003,-10.620000000000001,2.2600000000000016,0.13333333333333333,0.13333333333333333
HOLDOUT,0.8,2,12,19,6,-17.270000000000003,-15.530000000000001,1.740000000000002,0.2631578947368421,0.15789473684210525
HOLDOUT,0.8,2,13,1,0,1.46,1.46,0.0,1.0,1.0
HOLDOUT,0.8,2,14,20,5,-6.62,-9.450000000000001,-2.830000000000001,0.3,0.25
HOLDOUT,0.8,2,15,3,0,-3.53,-3.53,0.0,0.0,0.0
HOLDOUT,0.8,2,16,2,0,1.15,1.15,0.0,0.5,0.5
HOLDOUT,0.8,2,18,9,1,-6.6899999999999995,-7.989999999999999,-1.2999999999999998,0.2222222222222222,0.1111111111111111
HOLDOUT,0.8,2,19,2,1,-0.41999999999999993,-3.97,-3.5500000000000003,0.5,0.0
