target_points,horizon_bars,window,feature,gain,gain_normalized
1.0,5,6,half_life_60,5.290229320526123,0.013613713275690205
1.0,5,6,ou_residual_30,5.167720794677734,0.013298453606651588
1.0,5,6,ou_residual_60,5.742298126220703,0.014777053223493763
1.0,5,6,normalized_ou_residual_30,0.0,0.0
1.0,5,6,normalized_ou_residual_60,3.9457497596740723,0.010153870963099226
1.0,5,7,past_return_1,6.6583476066589355,0.017520763802912828
1.0,5,7,past_return_3,5.844303607940674,0.015378689902707108
1.0,5,7,past_return_5,5.965821266174316,0.0156984512479492
1.0,5,7,past_return_10,5.664086818695068,0.014904467770697394
1.0,5,7,past_return_15,6.080190658569336,0.015999402659442313
1.0,5,7,past_return_30,6.154002666473389,0.016193631443024038
1.0,5,7,realized_vol_5,6.4978461265563965,0.017098420499586018
1.0,5,7,realized_vol_15,12.820455551147461,0.03373572345978952
1.0,5,7,realized_vol_30,7.033910751342773,0.01850901997994149
1.0,5,7,realized_vol_60,7.354703426361084,0.019353153242536458
1.0,5,7,vol_ratio_5_30,6.829540252685547,0.017971239820840795
1.0,5,7,vol_ratio_5_60,5.798168182373047,0.015257289227634382
1.0,5,7,variance_ratio_5_30,6.17821741104126,0.016257350077914356
1.0,5,7,variance_ratio_5_60,6.628229141235352,0.017441510127681897
1.0,5,7,rolling_range_5,10.645344734191895,0.02801214080529935
1.0,5,7,rolling_range_15,7.177812576293945,0.01888768298084221
1.0,5,7,rolling_range_30,5.309518337249756,0.013971456912395562
1.0,5,7,rolling_range_60,8.526498794555664,0.02243661344682978
1.0,5,7,atr_5,8.78397274017334,0.023114129919844763
1.0,5,7,atr_15,14.414496421813965,0.03793027971263611
1.0,5,7,atr_30,8.63922119140625,0.02273323095723764
1.0,5,7,atr_60,6.004227161407471,0.01579951245093394
1.0,5,7,normalized_range_5,6.302545070648193,0.01658450565566814
1.0,5,7,normalized_range_15,7.767194747924805,0.020438582157158085
1.0,5,7,normalized_range_30,8.206889152526855,0.02159559321509541
1.0,5,7,normalized_range_60,8.423079490661621,0.022164476078336576
1.0,5,7,vwap_distance,6.611732006072998,0.017398099596168753
1.0,5,7,vwap_distance_pct,8.253657341003418,0.02171865894133783
1.0,5,7,normalized_vwap_distance,6.846487522125244,0.018015834834874053
1.0,5,7,mean_distance_5,6.5052924156188965,0.017118014651105202
1.0,5,7,mean_distance_15,11.151602745056152,0.02934430721589863
1.0,5,7,mean_distance_30,5.7498459815979,0.015130134276251017
1.0,5,7,mean_distance_60,6.8075785636901855,0.01791344987229321
1.0,5,7,zscore_5,6.968836784362793,0.01833778446138212
