observations,wins,losses,win_rate,tp,sl,rr,horizon,expectancy_r,breakeven_wr,edge_vs_breakeven,context,side,hmm_state,vol_bucket,zscore,candidate,research_score
154,88,66,0.5714285714285714,8.0,7.5,1.0666666666666667,10,0.18095238095238086,0.48387096774193555,0.08755760368663584,B1,LONG,2,60-80,3.5,True,0.9778069104231188
154,83,71,0.538961038961039,9.0,7.5,1.2,20,0.18571428571428572,0.45454545454545453,0.08441558441558444,B1,LONG,2,60-80,3.5,True,0.9731284084593722
154,84,70,0.5454545454545454,7.0,6.0,1.1666666666666667,5,0.18181818181818177,0.46153846153846145,0.08391608391608396,B1,LONG,2,60-80,3.5,True,0.9586675842077904
154,84,70,0.5454545454545454,7.0,6.0,1.1666666666666667,15,0.18181818181818177,0.46153846153846145,0.08391608391608396,B1,LONG,2,60-80,3.5,True,0.9586675842077904
154,98,56,0.6363636363636364,5.0,6.0,0.8333333333333334,8,0.16666666666666663,0.5454545454545454,0.09090909090909094,B1,LONG,2,60-80,3.5,True,0.9551941509316753
154,93,61,0.6038961038961039,7.0,7.5,0.9333333333333333,8,0.16753246753246764,0.5172413793103449,0.08665472458575907,B1,LONG,2,60-80,3.5,True,0.9327231642270126
372,191,181,0.5134408602150538,25.0,20.0,1.25,15,0.155241935483871,0.4444444444444444,0.06899641577060933,D2,LONG,1,20-40,3.0,True,0.9316331726057946
154,90,64,0.5844155844155844,5.0,5.0,1.0,5,0.16883116883116878,0.5,0.08441558441558439,B1,LONG,2,60-80,3.5,True,0.9233661602995176
154,90,64,0.5844155844155844,5.0,5.0,1.0,15,0.16883116883116878,0.5,0.08441558441558439,B1,LONG,2,60-80,3.5,True,0.9233661602995176
154,90,64,0.5844155844155844,7.5,7.5,1.0,10,0.16883116883116878,0.5,0.08441558441558439,B1,LONG,2,60-80,3.5,True,0.9233661602995176
154,82,72,0.5324675324675324,9.0,7.5,1.2,5,0.17142857142857126,0.45454545454545453,0.07792207792207789,B1,LONG,2,60-80,3.5,True,0.8926581746829232
