target_points,horizon_bars,window,probability_decile,observations,mean_probability,realized_probability,mean_future_mfe
1.0,10,9,5,101,0.96235,0.9405940594059405,14.591584158415841
1.0,10,9,6,100,0.9667549,0.96,18.095
1.0,10,9,7,101,0.9711029,0.9603960396039604,19.054455445544555
1.0,10,9,8,101,0.9762916,0.9603960396039604,16.316831683168317
1.0,10,9,9,101,0.98318887,0.9900990099009901,18.165841584158414
1.0,10,10,0,90,0.87759507,0.8888888888888888,11.883333333333333
1.0,10,10,1,90,0.93252146,0.9444444444444444,14.702777777777778
1.0,10,10,2,89,0.94325763,0.9662921348314607,13.73314606741573
1.0,10,10,3,90,0.95010835,0.9666666666666667,15.96111111111111
1.0,10,10,4,90,0.95588887,0.9444444444444444,17.158333333333335
1.0,10,10,5,89,0.96078455,0.9887640449438202,20.47752808988764
1.0,10,10,6,90,0.96511763,1.0,22.394444444444446
1.0,10,10,7,89,0.96962464,0.9662921348314607,17.78932584269663
1.0,10,10,8,90,0.97467244,0.9444444444444444,17.71388888888889
1.0,10,10,9,90,0.98256016,0.9333333333333333,17.669444444444444
1.0,10,11,0,109,0.8374614,0.908256880733945,12.871559633027523
1.0,10,11,1,108,0.9226431,0.9259259259259259,12.95138888888889
1.0,10,11,2,109,0.9403233,0.9357798165137615,14.227064220183486
1.0,10,11,3,108,0.9502143,0.9629629629629629,15.344907407407407
1.0,10,11,4,109,0.9570951,0.944954128440367,16.21330275229358
1.0,10,11,5,108,0.9624413,0.9722222222222222,15.099537037037036
1.0,10,11,6,108,0.9665446,0.9351851851851852,18.02314814814815
1.0,10,11,7,109,0.9712749,0.9541284403669725,15.36697247706422
1.0,10,11,8,108,0.9760097,0.9629629629629629,16.97685185185185
1.0,10,11,9,109,0.9820701,0.926605504587156,21.137614678899084
1.0,10,12,0,121,0.87961775,0.8760330578512396,17.85123966942149
1.0,10,12,1,121,0.9234591,0.9504132231404959,13.130165289256198
1.0,10,12,2,121,0.9370581,0.9669421487603306,14.87396694214876
1.0,10,12,3,120,0.9461819,0.95,16.033333333333335
1.0,10,12,4,121,0.95243853,0.9669421487603306,15.212809917355372
1.0,10,12,5,121,0.95879835,0.9669421487603306,14.557851239669422
1.0,10,12,6,121,0.9640163,0.9669421487603306,17.774793388429753
1.0,10,12,7,120,0.96997565,0.9583333333333334,19.447916666666668
1.0,10,12,8,121,0.976522,0.9421487603305785,25.053719008264462
1.0,10,12,9,121,0.9843907,0.9834710743801653,25.892561983471076
1.0,10,13,0,129,0.8654477,0.9224806201550387,12.967054263565892
1.0,10,13,1,129,0.93046594,0.9767441860465116,13.0968992248062
1.0,10,13,2,128,0.94533646,0.96875,15.7109375
1.0,10,13,3,129,0.9542681,0.9302325581395349,16.53488372093023
1.0,10,13,4,129,0.9610268,0.9767441860465116,20.833333333333332
