trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,losing_streak,daily_sharpe,window,quantile,barrier,horizon
263,0.714828897338403,0.07785171102661598,20.475,1.2836363636363632,-8.1375,4,2.8380027764946094,2,0.8,0.50R,15
255,0.6,0.05224509803921569,13.322500000000002,1.1574530949918749,-7.222499999999999,5,1.6434804730954211,2,0.8,0.67R,5
249,0.6144578313253012,0.06631526104417672,16.512500000000003,1.1955009619653694,-6.2425,5,1.9595557553367784,2,0.8,0.67R,10
246,0.6422764227642277,0.08816056910569106,21.6875,1.2634375948982692,-6.329999999999998,5,2.3889113504435278,2,0.8,0.67R,15
250,0.588,0.07885,19.712500000000002,1.233872163725345,-6.275,5,2.263746287524011,2,0.8,0.75R,5
245,0.6040816326530613,0.09510204081632655,23.300000000000004,1.2726341962849201,-6.162500000000001,5,2.5262839434653177,2,0.8,0.75R,10
242,0.6322314049586777,0.11885330578512397,28.762500000000003,1.3451845184518454,-6.25,5,2.9048464102123326,2,0.8,0.75R,15
236,0.5466101694915254,0.11753177966101695,27.7375,1.3237997957099081,-6.875,5,2.9429933997966327,2,0.8,1.00R,5
227,0.5462555066079295,0.12747797356828194,28.9375,1.3177326379357672,-7.037500000000001,5,2.666020503653112,2,0.8,1.00R,10
225,0.5777777777777777,0.148,33.3,1.3727959697732999,-6.6625,5,2.983486097797121,2,0.8,1.00R,15
193,0.6683937823834197,0.045401554404145075,8.7625,1.1617816755135009,-10.674999999999999,4,1.5008433949307771,2,0.85,0.50R,5
188,0.6861702127659575,0.06263297872340425,11.774999999999999,1.2249283667621778,-6.4,3,2.1320469240113744,2,0.85,0.50R,10
187,0.7005347593582888,0.06524064171122995,12.200000000000001,1.2310606060606062,-5.8125,3,2.140269917234701,2,0.85,0.50R,15
185,0.6,0.047675675675675676,8.82,1.140055577610163,-8.805000000000001,6,1.3167705442080326,2,0.85,0.67R,5
181,0.6077348066298343,0.055138121546961336,9.980000000000002,1.1579738820736052,-9.462500000000002,5,1.516002357788257,2,0.85,0.67R,10
180,0.6277777777777778,0.06340277777777778,11.4125,1.180863708399366,-9.057500000000001,6,1.691111302655191,2,0.85,0.67R,15
179,0.5865921787709497,0.06997206703910616,12.525000000000002,1.20076137046684,-8.725000000000001,6,1.7497152444954611,2,0.85,0.75R,5
175,0.5942857142857143,0.07921428571428572,13.8625,1.2194301543332013,-10.0625,5,1.9335186336435801,2,0.85,0.75R,10
174,0.6149425287356322,0.08821839080459772,15.350000000000001,1.2432646592709984,-10.0625,6,2.0702088537762084,2,0.85,0.75R,15
174,0.5402298850574713,0.11185344827586206,19.4625,1.2922297297297298,-11.1375,6,2.3222362466786137,2,0.85,1.00R,5
169,0.5502958579881657,0.14400887573964496,24.3375,1.3621651785714284,-8.425,5,2.6328555663611386,2,0.85,1.00R,10
167,0.5808383233532934,0.1659431137724551,27.712500000000002,1.4192511346444783,-6.7875,6,2.9209665884409435,2,0.85,1.00R,15
547,0.6087751371115173,0.007244058500914076,3.9624999999999995,1.027156686370256,-9.925,8,0.3871535273125213,3,0.7,0.50R,5
508,0.6417322834645669,0.012942913385826775,6.575000000000002,1.0434351775392237,-12.2375,6,0.5920712024218724,3,0.7,0.50R,10
